Year,D95_MALE_31TO60,D95_MALE_61TO90,D95_MALE_91TO120,D95_IMMATURE_FEMALE,D95_MATURE_FEMALE,AVG_BT,CP_EXTENT,CP_COD,COD_MALE_31TO60,COD_MALE_61TO90,COD_MALE_91TO120,COD_IMMATURE_FEMALE,COD_MATURE_FEMALE,POP_TEMP_OCC,POP_COD,POP_D95
1988,18847,34085,34887,17243,22055,2.1366848,56942,59,60.6646,58.9958,58.824,60.4954,59.4172,0.08298709,59.8439,33283
1989,22857,36892,40501,14436,19649,2.8847645,29674,58.9,60.4054,59.1339,58.5358,59.865,59.3474,2.2748109,59.4682,37694
1990,18446,42105,33684,11228,22456,2.0970684,45313,59.7,60.4431,59.5532,58.514,59.5792,59.2129,0.61555719,59.4033,39298
1991,16842,42105,40501,15639,17243,2.4874627,40501,59.7,59.8778,59.5107,58.3603,59.3636,59.3484,1.10695975,59.388,38095
1992,16040,38095,46115,17243,23258,1.6310127,60551,58.8,59.5974,59.5388,58.7556,59.7891,59.0178,0.48266553,59.4531,34887
1993,14035,35288,41303,13233,20852,2.8414414,35288,59.5,60.5459,59.7974,59.1996,60.3929,59.9662,0.79173712,60.2892,27268
1994,17644,34887,40501,12030,27268,1.6144828,54135,59.1,60.5407,59.2684,58.8576,61.1142,59.1349,-0.98595384,60.1779,30075
1995,22055,40902,31278,11629,27268,1.5247159,71378,58.7,60.5202,59.2407,58.1732,61.0907,59.2498,-0.2024575,59.7553,37694
1996,22857,44110,35689,8421,21654,3.2812155,27669,59.7,60.9435,59.3993,57.9481,61.5469,59.4904,1.97983581,59.6139,43308
1997,24461,49724,42907,5213,15639,2.629096,43308,59,61.1145,59.6119,58.196,61.4191,59.7346,1.30244905,59.615,45313
1998,10426,55739,48922,10025,12832,3.1137143,25664,60.2,60.9878,59.6165,58.7126,60.7352,59.5476,1.82130339,59.7623,42907
1999,26867,60551,56942,19248,16040,0.7126801,99047,58.8,60.5821,59.3365,58.6062,60.5443,59.5775,0.03392217,59.7583,48922
2000,14837,44110,52130,16441,11228,2.007781,59749,59.1,60.6395,59.8211,59.1871,60.6622,59.2252,0.20900017,59.7838,24862
2001,14035,26466,52130,12832,12030,2.4513889,45313,59.8,61.1356,60.4877,59.4462,60.9181,60.023,0.93370354,60.4588,25263
2002,9624,34085,35689,8421,10426,3.0838356,25664,60.4,60.7443,59.9983,59.3972,60.765,59.4216,1.52840078,59.9208,26867
2003,7619,29273,35288,7619,8421,3.6836512,13233,60.6,61.2978,60.4503,59.4966,60.8196,58.9799,1.8554212,60.3276,17243
2004,11629,22055,36892,9624,12832,3.2281421,24461,60.3,59.7813,60.1428,59.3524,59.0968,59.7439,1.2960033,59.526,18847
2005,13634,22055,38095,10827,12431,3.2580925,23258,60.4,59.8442,60.1735,58.8677,59.3435,59.8232,1.55218775,59.6955,22456
2006,14837,28872,31278,8822,16040,1.6732432,67769,59.2,59.7535,59.3358,58.9976,59.6849,59.2084,-0.36606382,59.4708,24862
2007,14436,38496,34486,11228,19649,1.5826667,78997,58.8,60.0343,59.2422,58.6532,60.0813,59.0363,-0.26821161,59.4916,31679
2008,17644,35288,41303,16842,22055,1.1016043,96240,58.7,60.1847,59.2389,58.5496,60.6372,58.9351,-0.17109728,59.5429,38496
2009,17644,43308,39298,14035,19649,1.1957333,89824,58.6,60.8203,59.3726,58.322,60.7829,59.0213,-0.50298736,59.9807,36491
2010,15639,36090,35288,16040,19649,1.3386667,74987,58.7,61.0171,60.1398,58.3498,60.9596,60.1917,-0.16971021,60.6817,25263
2011,22456,32882,35288,18847,22456,2.312,45714,59.5,60.8065,59.8746,58.6567,60.3559,59.9901,1.11426124,60.1736,32080
2012,20050,38095,36090,16040,22456,0.8268097,103057,58.5,60.4348,59.2399,58.2596,59.5928,59.4733,-0.07293692,59.5971,34085
2013,20852,39699,35689,16040,18446,1.6370667,72982,58.9,60.0332,58.9582,58.0537,59.3329,59.2986,0.29421301,59.3484,34085
2014,18446,35689,35288,11228,14436,3.0186667,36491,60.1,59.0217,58.8571,57.9185,58.6289,58.8369,1.87002588,58.7824,31679
2015,10426,36491,37694,9624,15238,3.1336,34486,60,60.1277,59.362,58.4495,59.9583,58.5472,0.26113727,59.4845,23659
2016,7218,31278,37293,6817,14035,4.2106667,25664,60.5,60.8896,59.264,58.805,60.8979,58.6021,0.40184776,60.4503,15639
2017,13233,18847,33283,11629,15238,2.6528,48120,59,60.8077,59.8252,59.306,60.9434,59.8032,-0.01151922,60.5195,17644
2018,12431,20050,24060,9624,12832,4.1594667,1604,61.8,60.5525,59.8786,58.7242,60.7608,59.813,3.26410049,60.2637,19248
2019,12431,19649,23258,5213,12832,4.3541333,8020,61.4,60.5798,59.9267,59.2731,61.277,60.0819,2.29851951,60.0909,19649
