SURVEY_YEAR,MEAN_BT,CPA,CP_COD
1988,2.1563065811851283,56942,59.051246012658225
1989,2.9062746073355488,30476,58.846704102564104
1990,2.238105378842775,48120,59.64160770992366
1991,2.4340263071094492,48120,59.59938457364341
1992,1.6744493655021886,70977,58.757749090909094
1993,2.949442206495514,37293,59.51468425742574
1994,1.5033225803148724,73383,58.99732338308458
1995,1.5170831315503583,76992,58.71159275700935
1996,3.2931894981507415,27669,59.68651216216216
1997,2.5907450834534225,46115,59.069271328125
1998,3.1290699548657708,26867,60.16017141025641
1999,0.7084548597070234,108270,58.753603427561835
2000,2.0114542340460635,65363,59.06855604651163
2001,2.4423720139174154,46917,59.80107298387097
2002,3.051897371979233,28070,60.320497631578945
2003,3.682174926836392,13634,60.56099789473684
2004,3.215752305434535,25263,60.28278084507042
2005,3.320277922794358,24060,60.40755567164179
2006,1.6644924864515933,68972,59.210429521276595
2007,1.5826666666666667,78997,58.75097013761468
2008,1.1071698136891361,96240,58.680898060836505
2009,1.1957333333333333,89824,58.6448187755102
2010,1.3386666666666667,74987,58.698492692307696
2011,2.312,45714,59.46411566929134
2012,0.8400359774670694,103057,58.546496334519574
2013,1.6370666666666667,72982,58.85426527093596
2014,3.018666666666667,36491,60.075603434343435
2015,3.1336,34486,60.01786810526316
2016,4.210666666666667,25664,60.540622112676054
2017,2.6528,48120,58.962087209302325
2018,4.159466666666667,1604,61.83628
2019,4.354133333333333,8020,61.350591
