"HAULJOIN","VESSEL","CRUISE","HAUL","LATITUDE","LONGITUDE","GIS_STATION","SURVEY_YEAR","START_TIME","GEAR_DEPTH","NBT","SPECIES_CODE","MALE_LE30","MALE_31TO60","MALE_61TO90","MALE_91TO120","MALE_TOTAL","IMMATURE_FEMALE","MATURE_FEMALE","TOTAL_FEMALE"
-17349,162,201702,26,62.00914,-169.54835,"V-19",2017,15-AUG-17,40,-0.6,68580,19257.0409430192488111890346651340942508,39189.7675331619800368057547571149988261,0,0,58446.8084761812288479947894222490930769,34392.3994385852548943691882265026455216,270.274258849392965771074170738724129835,34662.6736974346478601402623972413696514
-17381,162,201702,43,63.00844,-172.60711,"Y-23",2017,19-AUG-17,59,-1.2,68580,67.16373126064213326042577696919628756086,9940.232226575035722543014991441050559008,805.96477512770559912510932363035545073,0,10813.3607329633834549285500920406022973,5305.934769590728527573636380566506717308,2619.385519165043197156605301798655214874,7925.320288755771724730241682365161932182
-17396,162,201702,53,64.61832,-170.68775,"DD-20",2017,22-AUG-17,45,2.6,68580,89177.0681585036643056847281136549560575,213647.3408162196908691567346175674924439,0,0,302824.4089747233551748414627312224485013,119532.1288183200581817239922435472782334,290.479049376233434220471427080309303119,119822.6078676962916159444636706275875365
-17431,162,201702,76,63.00573,-168.22302,"Y-01",2017,29-AUG-17,37,7.7,68580,613.187333460593715024674788406207070381,963.580095438075837895917524638325396313,0,0,1576.767428898669552920592313044532466693,437.990952471852653589053420290147907415,0,437.990952471852653589053420290147907415
-17433,162,201702,78,63.33061,-167.50802,"ZZ-02",2017,29-AUG-17,30,6.4,68580,244.590988345844056941765331727970471258,1059.894282831990913414316437487872042118,0,0,1304.485271177834970356081769215842513376,733.772965037532170825295995183911413774,0,733.772965037532170825295995183911413774
-17365,162,201702,35,62.66936,-172.45574,"X-23",2017,17-AUG-17,52,-0.8,68580,51484.9201991349195660266891681915554281,234202.9159206938625956050875217734554042,305.548487828693884664846819989267391265,0,285993.3846076574760462966235099542782236,118323.6519116617068364619310408437972672,1833.290926972163307989080919935604347587,120156.9428386338701444510119607794016148
-17453,162,201702,49,64.30688,-171.27471,"CC-21",2017,21-AUG-17,43,2.1,68580,103696.0531870868463312133459779370465911,345404.8390332461140385020085452147667026,3170.562777303015085666595110836204661957,0,452271.4549976359754553819496339880179556,351745.9645878521442098351987668871760265,1492.029542260242393254868287452331605627,353237.9941301123866030900670543395076321
-17400,162,201702,57,65.21764,-168.89474,"FF-18",2017,22-AUG-17,51,4,68580,569.445393684096112607371103026267304469,6507.947356389669858369955463157340622503,894.842761503579605525868876184134335594,0,7972.235511577345576503195442367742262566,813.493419548708732296244432894667577813,244.048025864612619688873329868400273344,1057.541445413321351985117762763067851157
-17064,162,201702,3,62.34185,-173.88367,"W-25",2017,01-AUG-17,62,-1.6,68580,9905.52944210444762003073949980188815243,52875.0330219920169510606370541149064137,2322.675869183111855731345813746649635742,0,65103.2383332795764268227223676634442018,18718.034945769783778540845675487705888,17898.2669919404501824003706824006530754,36547.9879415577894945961767751311045624
-17402,94,201702,48,64.01534,-165.31265,"BB-05",2017,24-AUG-17,15,8.9,68580,558.85839716753843406374284186757164731,652.001463362128173074366648845500255195,0,0,1210.859860529666607138109490713071902505,372.57226477835895604249522791171443154,0,372.57226477835895604249522791171443154
