HAULJOIN,VESSEL,CRUISE,HAUL,LATITUDE,LONGITUDE,GIS_STATION,SURVEY_YEAR,START_TIME,GEAR_DEPTH,NBT,SPECIES_CODE,MALE_LE30,MALE_31TO60,MALE_61TO90,MALE_91TO120,MALE_TOTAL,IMMATURE_FEMALE,MATURE_FEMALE,TOTAL_FEMALE
-17349,162,201702,26,62.00914,-169.54835,V-19,2017,15-Aug-17,40,-0.6,68580,19257.04094,39189.76753,0,0,58446.80848,34392.39944,270.2742588,34662.6737
-17381,162,201702,43,63.00844,-172.60711,Y-23,2017,19-Aug-17,59,-1.2,68580,67.16373126,9940.232227,805.9647751,0,10813.36073,5305.93477,2619.385519,7925.320289
-17396,162,201702,53,64.61832,-170.68775,DD-20,2017,22-Aug-17,45,2.6,68580,89177.06816,213647.3408,0,0,302824.409,119532.1288,290.4790494,119822.6079
-17431,162,201702,76,63.00573,-168.22302,Y-01,2017,29-Aug-17,37,7.7,68580,613.1873335,963.5800954,0,0,1576.767429,437.9909525,0,437.9909525
-17433,162,201702,78,63.33061,-167.50802,ZZ-02,2017,29-Aug-17,30,6.4,68580,244.5909883,1059.894283,0,0,1304.485271,733.772965,0,733.772965
-17365,162,201702,35,62.66936,-172.45574,X-23,2017,17-Aug-17,52,-0.8,68580,51484.9202,234202.9159,305.5484878,0,285993.3846,118323.6519,1833.290927,120156.9428
-17453,162,201702,49,64.30688,-171.27471,CC-21,2017,21-Aug-17,43,2.1,68580,103696.0532,345404.839,3170.562777,0,452271.455,351745.9646,1492.029542,353237.9941
-17400,162,201702,57,65.21764,-168.89474,FF-18,2017,22-Aug-17,51,4,68580,569.4453937,6507.947356,894.8427615,0,7972.235512,813.4934195,244.0480259,1057.541445
-17064,162,201702,3,62.34185,-173.88367,W-25,2017,1-Aug-17,62,-1.6,68580,9905.529442,52875.03302,2322.675869,0,65103.23833,18718.03495,17898.26699,36547.98794
-17402,94,201702,48,64.01534,-165.31265,BB-05,2017,24-Aug-17,15,8.9,68580,558.8583972,652.0014634,0,0,1210.859861,372.5722648,0,372.5722648
-17404,94,201702,50,63.67658,-166.0585,AA-04,2017,24-Aug-17,24,5.5,68580,0,147.36303,0,0,147.36303,147.36303,0,147.36303
-17079,94,201702,14,60.67054,-169.37521,R-19,2017,4-Aug-17,41,4.8,68580,392.9359903,3772.185507,0,0,4165.121497,1807.505555,0,1807.505555
-17078,94,201702,13,60.67064,-170.75633,R-21,2017,3-Aug-17,56,-0.7,68580,0,304439.2279,470.4185855,78.40309759,304988.0496,345130.4356,18973.54962,364025.5821
-17419,94,201702,56,60.99729,-167.32733,S-02,2017,26-Aug-17,21,10.8,68580,0,0,0,0,0,142.8989303,0,142.8989303
-17068,94,201702,3,61.34035,-172.93407,T-24,2017,1-Aug-17,66,-1.4,68580,21313.36764,560638.9396,0,0,581952.3072,439682.8735,39489.23446,479172.108
-17450,94,201702,45,64.34015,-166.83257,CC-03,2017,23-Aug-17,28,4.5,68580,699.9312692,77.77014102,0,0,777.7014102,544.3909871,0,544.3909871
-19487,162,201902,3,62.33425,-173.86337,W-25,2019,29-Jul-19,61,0.3,68580,0,215717.8747,88053.74542,2415.267312,306186.8875,43405.80397,4485.496436,47891.30041
-19766,162,201902,33,64.66013,-169.12056,DD-18,2019,9-Aug-19,41,2.2,68580,21354.01201,69263.65435,0,0,90617.66636,57354.68611,0,57354.68611
-19486,162,201902,2,62.33512,-174.57173,W-26,2019,29-Jul-19,68,-0.5,68580,0,58653.17296,102042.3877,4593.320774,165288.8814,32930.57663,10246.63865,43177.21528
-19488,162,201902,4,62.33498,-173.15609,W-24,2019,29-Jul-19,56,0.6,68580,0,31189.42914,14358.12927,137.3983662,45753.65596,16144.30803,6457.723213,22602.03125
-18192,162,201801,210,64.74394,-170.04237,NBS-23,2018,5-Aug-18,45,3.1,68580,283.3769677,1841.95029,283.3769677,0,2408.704226,920.9751452,70.84424194,991.8193871
-18212,162,201801,223,63.75025,-168.80688,NBS-34,2018,11-Aug-18,31,6.4,68580,43690.77936,1201976.072,0,0,1245666.851,309934.1913,0,309934.1913
-19742,162,201902,26,64.01046,-168.27732,BB-01,2019,7-Aug-19,33,3,68580,3599.316459,1145.237055,0,0,4744.553514,7362.238211,0,7362.238211
-19823,162,201902,67,61.99204,-169.55975,V-19,2019,18-Aug-19,39,2.4,68580,36596.15041,36596.15041,71.19873621,0,73192.30082,36240.15673,71.19873621,36311.35547
-19824,162,201902,68,61.67139,-169.50709,U-19,2019,18-Aug-19,38,5.5,68580,162.661015,406.6525374,0,0,569.3135524,325.32203,0,325.32203
-19781,94,201902,47,63.99847,-166.81108,BB-03,2019,11-Aug-19,30,5.1,68580,1928.127077,308.5003323,0,0,2236.627409,1773.876911,0,1773.876911
-7177,89,201002,6,62.33131,-168.8704,W-18,2010,31-Jul-10,32,-0.9,68580,607.7929276,122947.8265,0,0,123468.7919,67899.15277,0,67899.15277
-19759,94,201902,35,63.00628,-166.75543,Y-03,2019,9-Aug-19,26,9.1,68580,78.17066577,0,0,0,78.17066577,78.17066577,0,78.17066577
-19797,94,201902,59,62.66791,-168.18687,X-01,2019,15-Aug-19,32,5.7,68580,359.922145,71.984429,0,0,431.906574,215.953287,0,215.953287
-7122,94,201002,50,64.33415,-167.57534,CC-02,2010,4-Aug-10,29,1.4,68580,29127.9396,193146.9573,0,0,222274.8969,168367.696,0,168367.696
-7102,94,201002,30,64.32886,-170.61723,CC-20,2010,30-Jul-10,33,0.7,68580,407.8182584,74712.30493,1223.454775,0,76343.57796,64843.10308,0,64843.10308
-7108,94,201002,36,64.65753,-168.35176,DD-01,2010,31-Jul-10,36,2,68580,17834.57325,86843.12469,401.6795777,0,105079.3775,56074.46904,562.3514088,56636.82045
-7125,94,201002,53,63.66494,-166.78118,AA-03,2010,4-Aug-10,27,0.8,68580,1073.1961,31122.68689,0,0,32195.88299,23533.65733,0,23533.65733
-7107,94,201002,35,64.33116,-168.33465,CC-01,2010,31-Jul-10,36,2.8,68580,7755.729139,27306.62968,0,0,35062.35881,28922.40658,0,28922.40658
-7154,162,201002,1,62.32484,-175.27395,W-27,2010,4-Aug-10,76,-1.4,68580,0,158166.3561,0,0,158166.3561,166941.4855,30320.56895,197262.0544
-7151,94,201002,79,62.66778,-166.73645,X-03,2010,10-Aug-10,23,6.8,68580,327.6423695,0,0,0,327.6423695,81.91059238,0,81.91059238
-7198,89,201002,27,61.98825,-172.3673,V-23,2010,4-Aug-10,53,-1.2,68580,11362.96453,94405.99985,0,0,105691.1359,157602.7615,4747.539976,162350.3015
-7083,94,201002,11,62.33545,-167.43715,W-02,2010,26-Jul-10,22,0.8,68580,0,83.26257019,0,0,83.26257019,83.26257019,0,83.26257019
-7086,94,201002,14,62.66204,-167.47114,X-02,2010,26-Jul-10,24,1.3,68580,159.0645,11850.30525,79.53224998,0,12088.902,6203.515499,0,6203.515499
-7212,89,201002,41,61.67071,-170.18286,U-20,2010,7-Aug-10,44,-1.2,68580,1305.356798,135688.404,2679.416585,0,139673.1774,130329.5708,2679.416585,133008.9874
-7205,89,201002,34,62.99693,-171.12531,Y-21,2010,6-Aug-10,45,-0.9,68580,282219.3372,48467.00603,0,0,330686.3432,233752.3312,0,233752.3312
-7162,162,201002,9,63.32892,-172.6906,ZZ-23,2010,6-Aug-10,62,0.2,68580,4578.475975,223429.6276,0,0,228008.1035,293022.4624,32542.39847,325564.8608
-7126,94,201002,54,63.34855,-166.76529,ZZ-03,2010,4-Aug-10,25,2.9,68580,466.9130115,233.4565058,0,0,700.3695173,700.3695173,0,700.3695173
-7203,89,201002,32,63.31338,-171.97767,ZZ-22,2010,5-Aug-10,59,0.1,68580,6794.862693,17235.74927,0,0,24030.61196,11269.52837,0,11269.52837
-7157,162,201002,4,62.6672,-174.63588,X-26,2010,5-Aug-10,71,-1.5,68580,45105.39443,1082869.628,0,0,1127975.022,982113.8372,77012.52865,1059126.366
-7197,89,201002,26,61.99595,-171.67044,V-22,2010,4-Aug-10,50,-1.2,68580,9196.012244,309264.2101,2318.322414,0,320778.5447,346202.8139,6954.967243,353080.5037
-7210,89,201002,39,62.33985,-170.28379,W-20,2010,7-Aug-10,38,-0.9,68580,3139.049805,2615.874837,0,0,5754.924642,3213.789086,74.73928107,3288.528367
-7211,89,201002,40,61.99963,-170.2566,V-20,2010,7-Aug-10,45,-1,68580,0,97786.57201,813.193946,0,98599.76596,78744.28044,2507.348,81183.86228
-6198,162,201001,79,59.33674,-168.57278,N-18,2010,22-Jun-10,39,1,68580,0,0,0,0,0,159.0037094,0,159.0037094
-6209,162,201001,90,57.33071,-167.73613,H-01,2010,24-Jun-10,71,0.2,68580,312.3119925,7573.565818,2888.885931,17879.86157,36384.34713,52390.33674,234.2339944,52624.57074
-6211,162,201001,92,56.33204,-167.66187,E-01,2010,25-Jun-10,127,3.9,68580,0,0,209.6206722,279.4942296,558.9884593,0,0,0
-6608,162,201001,165,58.33419,-172.31178,K-24,2010,13-Jul-10,100,2.5,68580,0,72.39021527,1954.535812,3981.46184,6008.387868,0,102576.935,102576.935
-6557,162,201001,113,57.3296,-172.09026,H-24,2010,3-Jul-10,106,3.4,68580,0,131.8335101,5866.5912,13447.01803,19709.10976,65.91675506,131.8335101,197.7502652
