,arrowtooth flounder,Greenland turbot,Pacific halibut,flathead sole,Bering flounder,rex sole,yellowfin sole,longhead dab,starry flounder,Alaska plaice,sturgeon poacher,butterfly sculpin,Pacific cod,walleye pollock,wattled eelpout,shortfin eelpout,Tanner crab,snow crab,red king crab,blue king crab,skates,rock sole,year,julian,depth,bottom.temp,lat,long,station
1.98201E+11,NA,0,0,0,0,0,46.3234,4.4023,0,0.2364,0,0,0.2628,0,0,0,0,0,0.0921,0,0,0.2628,1982,151,40,-0.2,58.00667,-158.92433,J-15
1.98201E+11,NA,0,0,0,0,0,809.0328,1.5647,2.347,0,2.347,0,0,0,0,0,0,0,0.3225,0,0,50.5036,1982,151,48,-0.4,57.68067,-159.01867,I-15
1.98201E+11,NA,0,2.2244,0,0,0,119.2629,0.6248,4.7993,1.2494,3.5402,0,36.2834,2.7073,0,0,0.1893,0,4.8844,0,0,158.6702,1982,151,46,0.6,57.33917,-159.08733,H-15
1.98201E+11,NA,0,4.6069,0,0,0,537.8976,2.134,0.35,0.2823,0.4291,0,142.731,28.047,0,0,0,0,1.7502,0,0,95.8616,1982,151,29,0.3,57.00467,-159.09633,G-15
1.98201E+11,NA,0,6.2904,1.6421,0,0,97.8414,0.4926,0.4673,0.4673,0.1011,0,43.1735,110.6493,0,0,3.1579,0.0632,55.1984,0,0,70.9748,1982,152,59,0.4,56.67067,-160.34967,F-13
1.98201E+11,NA,0,1.5875,0.3506,0,0,84.4045,0.8863,0.8863,0.7401,0.2922,0,36.5976,14.7539,0,0,2.24,0,5.8433,0,0,159.3624,1982,152,62,0.2,56.982,-160.33467,G-13
1.98201E+11,NA,0,0.592,0.6634,0,0,80.9296,0.8267,0,3.1334,1.3166,0,97.9342,10.9009,0,0,3.7765,0.0101,5.4606,0,0,40.7966,1982,152,60,0.1,57.31517,-160.29783,H-13
1.98201E+11,NA,0,0,0.4333,0,0,152.0252,1.4125,0.4333,1.8458,1.4125,0,38.6563,4.3413,0,0,4.8526,0,5.3726,0,0,13.8992,1982,152,53,0.9,57.64467,-160.26067,I-13
1.98201E+11,NA,0,0,0,0,0,225.4052,4.2406,0.8686,10.695,1.1581,0,20.6153,0,0,0,0.1021,0,3.3209,0,0,8.0894,1982,152,49,1.2,57.986,-160.20333,J-13
1.98201E+11,NA,0,4.9838,16.004,0,0.6018,52.8558,0.6018,10.5692,1.5141,0.1203,0,58.5915,110.8455,0,0,0.5516,0.0099,159.7602,0,0,123.5306,1982,164,64,-9999,56.31817,-161.6365,E-11
1.98201E+11,NA,0,1.7982,10.5013,0,0,41.5876,0,0,9.0309,0.0596,0,29.1987,33.0832,0,0,3.7754,2.0862,2.8811,0,5.7722,13.3326,1982,164,88,2.2,56.65617,-161.58117,F-11
1.98201E+11,NA,0,4.1738,3.8653,0,0,68.8501,0.3811,0,10.9426,0.0362,0,2.2592,0.3811,0,0,1.4517,0.4537,41.5116,0,0,13.6738,1982,165,70,0.7,56.98617,-161.5835,G-11
1.98201E+11,NA,0,0.1724,2.4538,0,0,151.5578,2.7796,0,10.7928,0.0959,0,0.9777,0.0287,0,0,4.3133,0.1437,92.2364,0,1.8021,29.6081,1982,165,55,0.2,57.33217,-161.57967,H-11
1.98201E+11,NA,0,1.7609,6.8691,0,0,219.18,9.8349,0,13.8821,0.4016,0,2.6981,4.3151,0,0,1.9566,0.0515,46.6515,0,0,26.6933,1982,165,53,1.8,57.65217,-161.48283,I-11
1.98201E+11,NA,0,0,0.24,0,0,234.5613,12.9351,0,3.5287,4.8481,0,3.9686,7.9369,0,0,0.27,0,15.0942,0,0,29.8386,1982,165,48,1.8,57.97917,-161.47933,J-11
1.98201E+11,NA,0,0.65,0,0,0,1626.3247,2.4879,3.1155,1.6138,3.7319,0,220.4674,53.545,0,0,0,0,0.0561,0,0,14.322,1982,165,38,4.8,58.2665,-161.402,K-11
1.98201E+11,NA,0,0.8971,0,0,0,222.7187,18.3864,0,11.1988,1.4745,0,12.89,0,0,0,0.0102,0,0.1546,0,0,24.5117,1982,166,24,2.6,58.66567,-162.70183,L-09
1.98201E+11,NA,0,1.6329,0,0,0,407.0444,12.0061,0,36.847,0.8285,0,0.9966,0,0,0,0,0,4.5625,0,0,17.8412,1982,166,29,2.1,58.3545,-162.71867,K-09
1.98201E+11,NA,0,3.6463,0.8873,0,0,235.4733,6.7954,0,15.9505,0.2925,0,9.4571,2.3594,0,0,0,0,8.8722,0,0,22.4534,1982,166,38,1.7,58.0275,-162.7485,J-09
1.98201E+11,NA,0,3.8889,1.0407,0,0,147.7692,22.5118,0,11.2559,0.0183,0,2.2913,1.2506,0,0,0.5478,0,23.5525,0,0,22.4024,1982,166,42,0.8,57.7,-162.75333,I-09
1.98201E+11,NA,0,0,3.7744,0,0,171.2641,16.1949,0,20.3261,0.0714,0,0.9011,0.0356,0,0,1.2491,0.7139,105.6458,0,3.2389,48.9326,1982,166,48,0.7,57.34417,-162.767,H-09
1.98201E+11,NA,0,3.1885,3.3099,0,0,79.9242,0,0,16.0541,0.0468,0,1.0659,1.0659,0,0,2.5713,1.5895,25.0114,0,0,10.5095,1982,166,60,-0.5,57.01783,-162.7815,G-09
1.98201E+11,NA,0,2.6884,15.0984,0,0,69.5567,0.6626,0,7.9419,0,0,3.7865,3.4267,0,0,1.5618,0.6626,0.994,0,2.2814,20.21,1982,167,71,0.7,56.68867,-162.786,F-09
1.98201E+11,NA,0,4.8427,10.5297,0,0.0496,40.8773,0,0,14.2962,0.0082,0,14.9669,8.9818,0,0,1.5314,0.4139,2.3179,0,0,13.8326,1982,167,77,2.7,56.35433,-162.798,E-09
1.98201E+11,NA,0,5.3576,8.4042,0,0.2452,82.6937,0,0,14.7427,0.0755,0,10.1115,35.2205,0,0,10.1398,0.7546,2.2165,0,3.1693,26.9295,1982,167,77,3.2,56.02083,-162.8055,D-09
1.98201E+11,NA,0,0,23.4443,0,0,378.9148,2.6494,1.514,3.0277,0.0737,0,152.7771,371.7342,0,0,0.0526,0.0104,5.6771,0,12.8575,230.6795,1982,167,51,4.7,55.70167,-162.82467,C-09
1.98201E+11,NA,0,8.9199,10.6766,0,0.0962,292.8503,0,0,3.321,0,0,9.9709,131.9463,0,0,3.6098,0.4412,0,0,20.1741,44.1425,1982,167,73,3.7,55.33983,-163.98083,B-07
1.98201E+11,NA,0,1.8074,20.6862,0,0.6131,123.8527,0,0,1.5327,0.0529,0,33.2755,67.5234,0.5602,0,2.5897,0.7399,5.6551,0,18.4558,60.1136,1982,168,95,2.1,55.646,-164.0075,C-07
